Team,1st Group,2nd Group,8th Finals,4th Finals,Semi Finals,Final,Winner,Third
qatar,0.4,0.26666666666666666,0.6666666666666666,0.43333333333333335,0.3,0.16666666666666666,0.06666666666666667,0.1
ecuador,0.23333333333333334,0.2,0.43333333333333335,0.26666666666666666,0.16666666666666666,0.13333333333333333,0.06666666666666667,0.0
senegal,0.23333333333333334,0.16666666666666666,0.4,0.16666666666666666,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.0
netherlands,0.13333333333333333,0.36666666666666664,0.5,0.2,0.13333333333333333,0.06666666666666667,0.03333333333333333,0.06666666666666667
england,0.3333333333333333,0.2,0.5333333333333333,0.23333333333333334,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333
iran,0.3,0.23333333333333334,0.5333333333333333,0.3,0.2,0.06666666666666667,0.03333333333333333,0.1
usa,0.26666666666666666,0.16666666666666666,0.43333333333333335,0.16666666666666666,0.13333333333333333,0.06666666666666667,0.03333333333333333,0.03333333333333333
wales,0.1,0.4,0.5,0.23333333333333334,0.16666666666666666,0.1,0.06666666666666667,0.03333333333333333
argentina,0.16666666666666666,0.2,0.36666666666666664,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.0
saudi-arabia,0.3,0.13333333333333333,0.43333333333333335,0.3333333333333333,0.1,0.03333333333333333,0.03333333333333333,0.03333333333333333
mexico,0.36666666666666664,0.3,0.6666666666666666,0.4666666666666667,0.13333333333333333,0.1,0.03333333333333333,0.03333333333333333
poland,0.16666666666666666,0.36666666666666664,0.5333333333333333,0.23333333333333334,0.06666666666666667,0.03333333333333333,0.0,0.0
france,0.36666666666666664,0.3333333333333333,0.7,0.16666666666666666,0.1,0.0,0.0,0.1
australia,0.3333333333333333,0.26666666666666666,0.6,0.36666666666666664,0.13333333333333333,0.03333333333333333,0.0,0.03333333333333333
denmark,0.13333333333333333,0.13333333333333333,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.03333333333333333,0.0,0.0
tunisia,0.16666666666666666,0.26666666666666666,0.43333333333333335,0.16666666666666666,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.0
spain,0.36666666666666664,0.3,0.6666666666666666,0.36666666666666664,0.2,0.1,0.06666666666666667,0.06666666666666667
costa-rica,0.16666666666666666,0.43333333333333335,0.6,0.3333333333333333,0.13333333333333333,0.1,0.03333333333333333,0.0
germany,0.16666666666666666,0.13333333333333333,0.3,0.13333333333333333,0.0,0.0,0.0,0.0
japan,0.3,0.13333333333333333,0.43333333333333335,0.16666666666666666,0.1,0.06666666666666667,0.0,0.03333333333333333
morocco,0.36666666666666664,0.16666666666666666,0.5333333333333333,0.3,0.16666666666666666,0.06666666666666667,0.0,0.03333333333333333
croatia,0.16666666666666666,0.36666666666666664,0.5333333333333333,0.23333333333333334,0.1,0.06666666666666667,0.06666666666666667,0.0
belgium,0.3,0.26666666666666666,0.5666666666666667,0.3,0.2,0.16666666666666666,0.1,0.0
canada,0.16666666666666666,0.2,0.36666666666666664,0.16666666666666666,0.16666666666666666,0.03333333333333333,0.03333333333333333,0.03333333333333333
brazil,0.4,0.16666666666666666,0.5666666666666667,0.26666666666666666,0.1,0.03333333333333333,0.03333333333333333,0.06666666666666667
serbia,0.3,0.2,0.5,0.3333333333333333,0.1,0.06666666666666667,0.03333333333333333,0.0
switzerland,0.2,0.4,0.6,0.23333333333333334,0.13333333333333333,0.0,0.0,0.1
cameroon,0.1,0.23333333333333334,0.3333333333333333,0.2,0.1,0.06666666666666667,0.0,0.03333333333333333
portugal,0.23333333333333334,0.4,0.6333333333333333,0.26666666666666666,0.1,0.03333333333333333,0.03333333333333333,0.0
ghana,0.3333333333333333,0.13333333333333333,0.4666666666666667,0.2,0.1,0.03333333333333333,0.03333333333333333,0.0
uruguay,0.2,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667
south-korea,0.23333333333333334,0.2,0.43333333333333335,0.23333333333333334,0.16666666666666666,0.13333333333333333,0.06666666666666667,0.0
